Date,Price,Change
2022-01-03,4.42,0.00
2022-01-04,4.48,1.21
2022-01-05,4.41,-1.37
2022-01-06,4.35,-1.34
2022-01-07,4.41,1.27
2022-01-10,4.35,-1.32
2022-01-11,4.43,1.77
2022-01-12,4.58,3.33
2022-01-13,4.55,-0.67
2022-01-14,4.42,-2.76
2022-01-18,4.38,-0.86
2022-01-19,4.47,2.00
2022-01-20,4.58,2.52
2022-01-21,4.52,-1.28
2022-01-24,4.41,-2.46
2022-01-25,4.45,0.85
2022-01-26,4.52,1.46
2022-01-27,4.42,-2.03
2022-01-28,4.31,-2.57
2022-01-31,4.32,0.34
2022-02-01,4.43,2.53
2022-02-02,4.50,1.40
2022-02-03,4.47,-0.56
2022-02-04,4.49,0.37
2022-02-07,4.46,-0.56
2022-02-08,4.46,-0.03
2022-02-09,4.60,3.17
2022-02-10,4.66,1.24
2022-02-11,4.51,-3.29
2022-02-14,4.51,0.03
2022-02-15,4.53,0.53
2022-02-16,4.54,0.11
2022-02-17,4.52,-0.30
2022-02-18,4.52,-0.08
2022-02-21,4.52,0.00
2022-02-22,4.51,-0.20
2022-02-23,4.48,-0.57
2022-02-24,4.46,-0.60
2022-02-25,4.48,0.49
2022-02-28,4.45,-0.61
2022-03-01,4.60,3.23
2022-03-02,4.67,1.50
2022-03-03,4.78,2.49
2022-03-04,4.94,3.26
2022-03-07,4.73,-4.18
2022-03-08,4.71,-0.44
2022-03-09,4.57,-2.92
2022-03-10,4.65,1.75
2022-03-11,4.63,-0.58
2022-03-14,4.52,-2.22
2022-03-15,4.51,-0.22
2022-03-16,4.60,1.94
2022-03-17,4.70,2.21
2022-03-18,4.74,0.80
2022-03-21,4.71,-0.61
2022-03-22,4.70,-0.22
2022-03-23,4.78,1.63
2022-03-24,4.74,-0.71
2022-03-25,4.70,-0.93
2022-03-28,4.73,0.57
2022-03-29,4.73,0.12
2022-03-30,4.75,0.41
2022-03-31,4.75,0.01
2022-04-01,4.69,-1.32
2022-04-04,4.78,1.98
2022-04-05,4.80,0.28
2022-04-06,4.74,-1.19
2022-04-07,4.70,-0.81
2022-04-08,4.73,0.54
2022-04-11,4.63,-1.93
2022-04-12,4.71,1.63
2022-04-13,4.71,0.05
2022-04-14,4.72,0.24
2022-04-15,4.72,0.00
2022-04-18,4.80,1.66
2022-04-19,4.72,-1.75
2022-04-20,4.65,-1.40
2022-04-21,4.70,1.12
2022-04-22,4.58,-2.60
2022-04-25,4.45,-2.89
2022-04-26,4.45,-0.08
2022-04-27,4.46,0.41
2022-04-28,4.43,-0.86
2022-04-29,4.41,-0.45
2022-05-02,4.27,-3.13
2022-05-03,4.28,0.35
2022-05-04,4.34,1.28
2022-05-05,4.29,-1.07
2022-05-06,4.27,-0.57
2022-05-09,4.19,-1.72
2022-05-10,4.15,-0.93
2022-05-11,4.21,1.31
2022-05-12,4.10,-2.58
2022-05-13,4.18,1.82
2022-05-16,4.19,0.40
2022-05-17,4.24,1.13
2022-05-18,4.18,-1.43
2022-05-19,4.28,2.50
2022-05-20,4.28,-0.19
2022-05-23,4.35,1.65
2022-05-24,4.31,-0.93
2022-05-25,4.25,-1.17
2022-05-26,4.26,0.11
2022-05-27,4.31,1.12
2022-05-31,4.30,-0.24
2022-06-01,4.33,0.76
2022-06-02,4.55,5.18
2022-06-03,4.47,-1.77
2022-06-06,4.44,-0.83
2022-06-07,4.44,0.01
2022-06-08,4.45,0.43
2022-06-09,4.38,-1.65
2022-06-10,4.29,-1.97
2022-06-13,4.21,-1.93
2022-06-14,4.16,-1.31
2022-06-15,4.16,0.17
2022-06-16,4.11,-1.33
2022-06-17,4.01,-2.30
2022-06-20,4.01,0.00
2022-06-21,4.04,0.64
2022-06-22,3.94,-2.35
2022-06-23,3.74,-5.20
2022-06-24,3.74,0.04
2022-06-27,3.77,0.91
2022-06-28,3.75,-0.59
2022-06-29,3.76,0.13
2022-06-30,3.78,0.64
2022-07-01,3.69,-2.50
2022-07-04,3.61,-2.08
2022-07-05,3.58,-0.80
2022-07-06,3.44,-3.98
2022-07-07,3.43,-0.19
2022-07-08,3.54,3.12
2022-07-11,3.48,-1.81
2022-07-12,3.42,-1.52
2022-07-13,3.25,-5.14
2022-07-14,3.31,1.92
2022-07-15,3.23,-2.47
2022-07-18,3.25,0.59
2022-07-19,3.30,1.68
2022-07-20,3.31,0.39
2022-07-21,3.31,-0.24
2022-07-22,3.32,0.58
2022-07-25,3.36,0.96
2022-07-26,3.40,1.29
2022-07-27,3.48,2.31
2022-07-28,3.50,0.55
2022-07-29,3.60,2.79
2022-08-01,3.53,-1.82
2022-08-02,3.48,-1.50
2022-08-03,3.47,-0.14
2022-08-04,3.49,0.41
2022-08-05,3.56,2.02
2022-08-08,3.60,1.08
2022-08-09,3.59,-0.13
2022-08-10,3.65,1.65
2022-08-11,3.70,1.36
2022-08-12,3.68,-0.39
2022-08-15,3.60,-2.17
2022-08-16,3.63,0.67
2022-08-17,3.59,-1.06
2022-08-18,3.64,1.52
2022-08-19,3.68,0.83
2022-08-22,3.66,-0.52
2022-08-23,3.68,0.66
2022-08-24,3.64,-1.13
2022-08-25,3.69,1.54
2022-08-26,3.69,0.00
2022-08-29,3.62,-1.91
2022-08-30,3.55,-1.99
2022-08-31,3.50,-1.44
2022-09-01,3.42,-2.33
2022-09-02,3.40,-0.56
2022-09-05,3.46,1.69
2022-09-06,3.45,-0.09
2022-09-07,3.44,-0.32
2022-09-08,3.55,3.11
2022-09-09,3.55,0.05
2022-09-12,3.62,1.85
2022-09-13,3.53,-2.34
2022-09-14,3.52,-0.45
2022-09-15,3.46,-1.55
2022-09-16,3.54,2.17
2022-09-19,3.53,-0.18
2022-09-20,3.50,-1.00
2022-09-21,3.42,-2.06
2022-09-22,3.47,1.21
2022-09-23,3.34,-3.51
2022-09-26,3.29,-1.58
2022-09-27,3.29,-0.10
2022-09-28,3.37,2.48
2022-09-29,3.43,1.71
2022-09-30,3.38,-1.35
2022-10-03,3.42,1.14
2022-10-04,3.48,1.87
2022-10-05,3.54,1.70
2022-10-06,3.42,-3.39
2022-10-07,3.37,-1.45
2022-10-10,3.43,1.66
2022-10-11,3.41,-0.42
2022-10-12,3.42,0.14
2022-10-13,3.45,0.94
2022-10-14,3.40,-1.62
2022-10-17,3.40,0.05
2022-10-18,3.36,-1.18
2022-10-19,3.32,-1.19
2022-10-20,3.39,2.07
2022-10-21,3.47,2.41
2022-10-24,3.42,-1.34
2022-10-25,3.39,-0.94
2022-10-26,3.53,4.11
2022-10-27,3.51,-0.59
2022-10-28,3.42,-2.46
2022-10-31,3.37,-1.50
2022-11-01,3.46,2.61
2022-11-02,3.42,-1.06
2022-11-03,3.41,-0.23
2022-11-04,3.69,8.06
2022-11-07,3.60,-2.47
2022-11-08,3.66,1.65
2022-11-09,3.67,0.31
2022-11-10,3.77,2.71
2022-11-11,3.92,4.21
2022-11-14,3.83,-2.32
2022-11-15,3.82,-0.42
2022-11-16,3.76,-1.63
2022-11-17,3.68,-1.92
2022-11-18,3.64,-1.09
2022-11-21,3.58,-1.67
2022-11-22,3.62,1.07
2022-11-23,3.64,0.57
2022-11-24,3.63,-0.22
2022-11-25,3.62,-0.44
2022-11-28,3.60,-0.53
2022-11-29,3.64,1.29
2022-11-30,3.78,3.78
2022-12-01,3.80,0.34
2022-12-02,3.85,1.56
2022-12-05,3.79,-1.74
2022-12-06,3.82,0.89
2022-12-07,3.84,0.59
2022-12-08,3.88,0.92
2022-12-09,3.85,-0.62
2022-12-12,3.81,-1.25
2022-12-13,3.84,1.01
2022-12-14,3.86,0.42
2022-12-15,3.78,-2.20
2022-12-16,3.77,-0.17
2022-12-19,3.76,-0.21
2022-12-20,3.81,1.19
2022-12-21,3.82,0.25
2022-12-22,3.76,-1.34
2022-12-23,3.81,1.23
2022-12-26,3.81,0.00
2022-12-27,3.85,1.01
2022-12-28,3.83,-0.42
2022-12-29,3.83,-0.13
2022-12-30,3.82,-0.25
