Year,Shares of Pound Sterlings (%),Shares of Swiss Francs (%),Shares of U.S. dollars (%),Shares of Japanese Yen (%),Shares of Euro (%)
1999,2.886658583,0.229894413,71.01393147,6.373732003,17.89879058
2000,2.753366744,0.269196284,71.13749895,6.065471545,18.29249301
2001,2.701065252,0.245228238,71.51797165,5.044638109,19.18386586
2002,2.921576545,0.407286761,66.50121555,4.941147884,23.65011203
2003,2.861346193,0.225627255,65.44987397,4.423690275,25.03291824
2004,3.492915088,0.166429604,65.50728748,4.284125453,24.67974703
2005,3.747468326,0.145704684,66.51516123,3.960160082,23.88982732
2006,4.520329382,0.172106501,65.04470669,3.460882287,24.99471702
2007,4.824119545,0.155113553,63.87450608,3.178042226,26.13362343
2008,4.217668382,0.137766664,63.76522114,3.467494577,26.21457899
2009,4.253099343,0.115657677,62.15416811,2.902318885,27.70483876
2010,3.941695458,0.128593019,62.24717411,3.663153316,25.76203851
2011,3.83784163,0.077215006,62.69914286,3.613587677,24.44923335
2012,4.042265496,0.212705312,61.4971891,4.089080122,24.07232583
2013,3.986656451,0.268448958,61.27682645,3.824018263,24.21416523
2014,3.702014937,0.239978902,65.17142005,3.545535244,21.21499743
2015,4.716840037,0.267409242,65.74858154,3.754315034,19.14786551
2016,4.346218268,0.162682813,65.36031192,3.953005709,19.13822141
2017,4.542132142,0.175814569,62.72699317,4.896863992,20.16818727
2018,4.427241279,0.137815387,61.76146454,5.192001083,20.67436152
2019,4.638180826,0.14961232,60.74771626,5.868763558,20.58844684
2020,4.73169491,0.174794502,58.92293392,6.029352708,21.29403955
2021,4.808894183,0.172547584,58.81155001,5.520385254,20.59523383
