date (Ending Saturday),Open,High,Low,Close,DXY Return (%),US10Y Percent Change,Speech Dates
25/03/2000,104.669998,106.519997,104.480003,105.440002,0.74,-2.22788,27/03/2000
02/12/2000,114.699997,114.940002,112.790001,114.050003,-0.57,-1.66372,04/12/2000
06/10/2001,112.739998,114.870003,112.269997,113.889999,1.02,-2.7921,08/10/2001
09/03/2002,117.949997,118.43,116.82,117.220001,-0.62,4.73663,11/03/2002
16/11/2002,105.139999,106.199997,104.709999,106.120003,0.93,-1.45073,18/11/2002
14/12/2002,103.879997,104.279999,103.099998,103.459999,-0.40,-3.11601,16/12/2002
23/08/2003,99.010002,99.489998,97.870003,98.099998,-0.92,-0.44583,25/08/2003
27/12/2003,87.68,87.720001,86.360001,86.919998,-0.87,0.08325,29/12/2003
05/06/2004,88.410004,90.190002,88.040001,90.010002,1.81,1.13199,07/06/2004
04/06/2005,88,88.75,87.150002,88.690002,0.78,-3.07125,06/06/2005
24/09/2005,89.379997,89.82,89.029999,89.519997,0.16,0.81068,26/09/2005
18/03/2006,89.07,90.620003,88.949997,90.07,1.12,-0.717,20/03/2006
04/11/2006,85.699997,85.93,84.699997,85.050003,-0.76,-2.80922,06/11/2006
25/11/2006,83.349998,83.779999,82.360001,82.480003,-1.04,-0.80225,27/11/2006
12/05/2007,82.099998,82.400002,81.660004,82.199997,0.12,0.04301,14/05/2007
02/06/2007,82.339996,82.919998,81.699997,82.690002,0.43,1.29132,04/06/2007
25/08/2007,80.699997,81.050003,80.440002,80.790001,0.11,-1.53322,27/08/2007
13/10/2007,78.209999,78.339996,77.400002,77.410004,-1.02,2.23292,15/10/2007
05/01/2008,76.050003,76.519997,75.790001,75.980003,-0.09,-6.58754,07/01/2008
05/04/2008,71.980003,72.43,71.419998,71.809998,-0.24,0.68143,07/04/2008
31/05/2008,72.870003,73.870003,72.339996,72.389999,-0.66,4.87233,02/06/2008
07/06/2008,72.290001,74.309998,72.129997,74.150002,2.57,-1.21739,09/06/2008
29/11/2008,86.43,87.699997,86.099998,87.120003,0.80,-8.37774,01/12/2008
10/01/2009,82.470001,85.139999,82.459999,84.209999,2.11,11.01676,12/01/2009
17/10/2009,75.57,75.910004,74.940002,75.470001,-0.13,4.56071,19/10/2009
14/11/2009,75.07,75.879997,74.68,75.660004,0.79,-1.4464,16/11/2009
02/01/2010,77.93,78.190002,77.089996,77.470001,-0.59,1.8617,04/01/2010
21/08/2010,83.019997,83.559998,82.620003,82.919998,-0.12,-5.29369,23/08/2010
29/01/2011,78.309998,78.32,76.879997,78.040001,-0.34,-0.45355,31/01/2011
04/06/2011,73.650002,74.919998,73.510002,74.790001,1.55,-3.02835,06/06/2011
03/09/2011,74.919998,77.269997,74.669998,77.190002,3.03,-0.82117,05/09/2011
07/04/2012,79.900002,80.089996,79.199997,79.879997,-0.03,-0.45126,09/04/2012
25/08/2012,81.57,81.82,80.959999,81.25,-0.39,-1.47392,27/08/2012
13/10/2012,79.709999,79.970001,78.940002,79.639999,-0.09,2.29988,15/10/2012
17/11/2012,81.160004,81.269997,80.129997,80.190002,-1.20,-5.76694,19/11/2012
23/02/2013,81.620003,82.510002,81.07,82.309998,0.85,-0.571,25/02/2013
04/05/2013,81.980003,83.440002,81.720001,83.139999,1.41,-1.50637,06/05/2013
16/11/2013,80.57,81.290001,80.489998,80.709999,0.17,2.22181,18/11/2013
12/04/2014,79.620003,79.900002,79.559998,79.830002,0.26,-3.39105,14/04/2014
28/06/2014,80.010002,80.32,79.739998,80.209999,0.25,-2.20532,30/06/2014
16/08/2014,81.419998,82.459999,81.379997,82.339996,1.13,-2.34628,18/08/2014
16/05/2015,93.230003,96.269997,93.230003,96.010002,2.98,2.3766,18/05/2015
19/09/2015,95.32,96.699997,95.040001,96.269997,1.00,0.45249,21/09/2015
28/11/2015,100.080002,100.510002,97.589996,98.349998,-1.73,-1.0186,30/11/2015
26/03/2016,96.279999,96.400002,94.32,94.620003,-1.72,-1.11169,28/03/2016
20/08/2016,94.5,95.589996,94.209999,95.57,1.13,0.90674,22/08/2016
14/01/2017,101.660004,101.730003,100.279999,100.739998,-0.90,-1.85567,16/01/2017
23/09/2017,92.32,93.669998,92.209999,93.080002,0.82,3.39138,25/09/2017
31/03/2018,89.970001,90.599998,89.82,90.110001,0.16,-2.48599,02/04/2018
18/08/2018,96.129997,96.400002,94.93,95.150002,-1.02,-2.11172,20/08/2018
24/11/2018,96.93,97.540001,96.629997,97.269997,0.35,-1.76707,26/11/2018
02/03/2019,96.339996,97.709999,96.330002,97.370003,1.07,1.42857,04/03/2019
22/06/2019,96.18,96.389999,95.839996,96.129997,-0.05,-3.38983,24/06/2019
17/08/2019,98.169998,98.449997,97.589996,97.639999,-0.54,-7.63006,19/08/2019
04/04/2020,100.660004,100.93,99.360001,99.470001,-1.18,-18.85856,06/04/2020
09/05/2020,99.669998,100.559998,99.580002,100.400002,0.73,4.375,11/05/2020
22/08/2020,93.199997,93.360001,92.199997,92.370003,-0.89,-0.2994,24/08/2020
03/10/2020,93.809998,93.900002,93.010002,93.059998,-0.80,0.89021,05/10/2020
21/08/2021,93.459999,93.510002,92.629997,92.690002,-0.82,-5.97907,23/08/2021
19/03/2022,98.239998,98.970001,98.160004,98.809998,0.58,13.17992,21/03/2022
20/08/2022,108.099998,109.269997,107.589996,108.800003,0.65,2.13371,22/08/2022
26/11/2022,106.059998,107.199997,104.379997,104.550003,-1.42,-1.13516,28/11/2022
