date,Yield (%),Return (%)
27/03/2000,6.15,0
04/12/2000,5.534,-0.10
08/10/2001,4.52,-0.18
11/03/2002,5.192,0.15
18/11/2002,3.956,-0.24
16/12/2002,4.06,0.03
25/08/2003,4.474,0.10
29/12/2003,4.2225,-0.06
07/06/2004,4.744,0.12
06/06/2005,3.948,-0.17
26/09/2005,4.238,0.07
20/03/2006,4.686,0.11
06/11/2006,4.642,-0.01
27/11/2006,4.56,-0.02
14/05/2007,4.662,0.02
04/06/2007,4.908,0.05
27/08/2007,4.616,-0.06
15/10/2007,4.674,0.01
07/01/2008,3.89,-0.17
07/04/2008,3.57,-0.08
02/06/2008,4.016,0.12
09/06/2008,3.984,-0.01
01/12/2008,2.9375,-0.26
12/01/2009,2.454,-0.16
19/10/2009,3.424,0.40
16/11/2009,3.4275,0.00
04/01/2010,3.83,0.12
23/08/2010,2.616,-0.32
31/01/2011,3.4,0.30
06/06/2011,3.01,-0.11
05/09/2011,2.1475,-0.29
09/04/2012,2.174,0.01
27/08/2012,1.704,-0.22
15/10/2012,1.71,0.00
19/11/2012,1.59,-0.07
25/02/2013,1.978,0.24
06/05/2013,1.72,-0.13
18/11/2013,2.724,0.58
14/04/2014,2.666,-0.02
30/06/2014,2.552,-0.04
18/08/2014,2.404,-0.06
18/05/2015,2.23,-0.07
21/09/2015,2.224,0.00
30/11/2015,2.225,0.00
28/03/2016,1.905,-0.14
22/08/2016,1.558,-0.18
16/01/2017,2.38,0.53
25/09/2017,2.254,-0.05
02/04/2018,2.755,0.22
20/08/2018,2.862,0.04
26/11/2018,3.06,0.07
04/03/2019,2.708,-0.12
24/06/2019,2.038,-0.25
19/08/2019,1.588,-0.22
06/04/2020,0.648,-0.59
11/05/2020,0.686,0.06
24/08/2020,0.658,-0.04
05/10/2020,0.702,0.07
23/08/2021,1.256,0.79
21/03/2022,2.2,0.75
22/08/2022,2.92,0.33
28/11/2022,3.71,0.27
