,date,US10Y Percent Change,DXY Return (%),timestamp
0,27/03/2000,0.16,0.75,954115200.0
1,05/12/2000,-1.81,0.44,975974400.0
2,11/10/2001,1.74,0.61,1002758400.0
3,13/03/2002,-0.75,-0.1,1015977600.0
4,03/05/2002,-0.97,-1.08,1020384000.0
5,19/11/2002,-0.75,0.5,1037664000.0
6,19/12/2002,-2.46,-0.17,1040256000.0
7,29/08/2003,0.68,-0.61,1062115200.0
8,08/06/2004,0.0,0.33,1086652800.0
9,06/06/2005,-0.5,-0.45,1118016000.0
10,27/09/2005,0.0,0.55,1127779200.0
11,20/03/2006,-0.43,0.07,1142812800.0
12,10/11/2006,-0.65,-0.08,1163116800.0
13,28/11/2006,-0.66,-0.36,1164672000.0
14,17/05/2007,1.06,0.19,1179360000.0
15,05/06/2007,1.01,-0.18,1181001600.0
16,31/08/2007,0.67,0.09,1188518400.0
17,15/10/2007,-0.21,-0.15,1192406400.0
18,10/01/2008,2.36,-0.62,1199923200.0
19,10/04/2008,1.72,0.33,1207785600.0
20,03/06/2008,-1.51,0.45,1212451200.0
21,09/06/2008,2.03,0.77,1212969600.0
22,01/12/2008,-7.17,0.34,1228089600.0
23,13/01/2009,-0.43,1.29,1231804800.0
24,23/10/2009,2.03,0.53,1256256000.0
25,16/11/2009,-2.92,-0.21,1258329600.0
26,27/08/2010,6.4,-0.02,1282867200.0
27,03/02/2011,1.7,0.84,1296691200.0
28,07/06/2011,0.0,-0.57,1307404800.0
29,08/09/2011,-2.44,0.98,1315440000.0
30,13/04/2012,-2.88,0.67,1334275200.0
31,31/08/2012,-3.68,-0.53,1346371200.0
32,20/11/2012,3.11,-0.05,1353369600.0
33,01/03/2013,-1.59,0.48,1362096000.0
34,10/05/2013,4.97,1.66,1368144000.0
35,19/11/2013,1.5,0.26,1384819200.0
36,16/04/2014,0.38,0.04,1397606400.0
37,02/07/2014,2.33,0.19,1404259200.0
38,22/08/2014,-0.41,0.22,1408665600.0
39,22/05/2015,0.91,0.64,1432252800.0
40,24/09/2015,-1.39,-0.27,1443052800.0
41,02/12/2015,1.4,0.16,1449014400.0
42,29/03/2016,-4.23,-0.82,1459209600.0
43,26/08/2016,2.53,0.91,1472169600.0
44,19/01/2017,2.07,-0.19,1484784000.0
45,26/09/2017,0.9,0.4,1506384000.0
46,06/04/2018,-2.12,-0.3,1522972800.0
47,24/08/2018,0.0,-0.51,1535068800.0
48,28/11/2018,0.0,-0.6,1543363200.0
49,08/03/2019,-0.76,-0.25,1552003200.0
50,25/06/2019,-0.99,0.17,1561420800.0
51,23/08/2019,-6.17,-0.56,1566518400.0
52,09/04/2020,-5.19,-0.61,1586390400.0
53,13/05/2020,-7.25,0.23,1589328000.0
54,27/08/2020,7.25,0.17,1598486400.0
55,06/10/2020,-2.56,0.42,1601942400.0
56,27/08/2021,-2.24,-0.37,1630022400.0
57,21/03/2022,8.41,0.26,1647820800.0
58,26/08/2022,0.33,0.3,1661472000.0
59,30/11/2022,-1.87,-0.72,1669766400.0
