Open,High,Low,Close,Date,Return (%)
104.6699982,106.5199966,104.4800034,105.4400024,27/03/2000,0.74
114.6999969,114.9400024,112.7900009,114.0500031,04/12/2000,-0.57
112.7399979,114.8700027,112.2699966,113.8899994,08/10/2001,1.02
117.9499969,118.4300003,116.8199997,117.2200012,11/03/2002,-0.62
105.1399994,106.1999969,104.7099991,106.1200027,18/11/2002,0.93
103.8799973,104.2799988,103.0999985,103.4599991,16/12/2002,-0.40
99.01000214,99.48999786,97.87000275,98.09999847,25/08/2003,-0.92
87.68000031,87.72000122,86.36000061,86.91999817,29/12/2003,-0.87
88.41000366,90.19000244,88.04000092,90.01000214,07/06/2004,1.81
88,88.75,87.15000153,88.69000244,06/06/2005,0.78
89.37999725,89.81999969,89.02999878,89.51999664,26/09/2005,0.16
89.06999969,90.62000275,88.94999695,90.06999969,20/03/2006,1.12
85.69999695,85.93000031,84.69999695,85.05000305,06/11/2006,-0.76
83.34999847,83.77999878,82.36000061,82.48000336,27/11/2006,-1.04
82.09999847,82.40000153,81.66000366,82.19999695,14/05/2007,0.12
82.33999634,82.91999817,81.69999695,82.69000244,04/06/2007,0.43
80.69999695,81.05000305,80.44000244,80.79000092,27/08/2007,0.11
78.20999908,78.33999634,77.40000153,77.41000366,15/10/2007,-1.02
76.05000305,76.51999664,75.79000092,75.98000336,07/01/2008,-0.09
71.98000336,72.43000031,71.41999817,71.80999756,07/04/2008,-0.24
72.87000275,73.87000275,72.33999634,72.38999939,02/06/2008,-0.66
72.29000092,74.30999756,72.12999725,74.15000153,09/06/2008,2.57
86.43000031,87.69999695,86.09999847,87.12000275,01/12/2008,0.80
82.47000122,85.13999939,82.45999908,84.20999908,12/01/2009,2.11
75.56999969,75.91000366,74.94000244,75.47000122,19/10/2009,-0.13
75.06999969,75.87999725,74.68000031,75.66000366,16/11/2009,0.79
77.93000031,78.19000244,77.08999634,77.47000122,04/01/2010,-0.59
83.01999664,83.55999756,82.62000275,82.91999817,23/08/2010,-0.12
78.30999756,78.31999969,76.87999725,78.04000092,31/01/2011,-0.34
73.65000153,74.91999817,73.51000214,74.79000092,06/06/2011,1.55
74.91999817,77.26999664,74.66999817,77.19000244,05/09/2011,3.03
79.90000153,80.08999634,79.19999695,79.87999725,09/04/2012,-0.03
81.56999969,81.81999969,80.95999908,81.25,27/08/2012,-0.39
79.70999908,79.97000122,78.94000244,79.63999939,15/10/2012,-0.09
81.16000366,81.26999664,80.12999725,80.19000244,19/11/2012,-1.20
81.62000275,82.51000214,81.06999969,82.30999756,25/02/2013,0.85
81.98000336,83.44000244,81.72000122,83.13999939,06/05/2013,1.41
80.56999969,81.29000092,80.48999786,80.70999908,18/11/2013,0.17
79.62000275,79.90000153,79.55999756,79.83000183,14/04/2014,0.26
80.01000214,80.31999969,79.73999786,80.20999908,30/06/2014,0.25
81.41999817,82.45999908,81.37999725,82.33999634,18/08/2014,1.13
93.23000336,96.26999664,93.23000336,96.01000214,18/05/2015,2.98
95.31999969,96.69999695,95.04000092,96.26999664,21/09/2015,1.00
100.0800018,100.5100021,97.58999634,98.34999847,30/11/2015,-1.73
96.27999878,96.40000153,94.31999969,94.62000275,28/03/2016,-1.72
94.5,95.58999634,94.20999908,95.56999969,22/08/2016,1.13
101.6600037,101.7300034,100.2799988,100.7399979,16/01/2017,-0.90
92.31999969,93.66999817,92.20999908,93.08000183,25/09/2017,0.82
89.97000122,90.59999847,89.81999969,90.11000061,02/04/2018,0.16
96.12999725,96.40000153,94.93000031,95.15000153,20/08/2018,-1.02
96.93000031,97.54000092,96.62999725,97.26999664,26/11/2018,0.35
96.33999634,97.70999908,96.33000183,97.37000275,04/03/2019,1.07
96.18000031,96.38999939,95.83999634,96.12999725,24/06/2019,-0.05
98.16999817,98.44999695,97.58999634,97.63999939,19/08/2019,-0.54
100.6600037,100.9300003,99.36000061,99.47000122,06/04/2020,-1.18
99.66999817,100.5599976,99.58000183,100.4000015,11/05/2020,0.73
93.19999695,93.36000061,92.19999695,92.37000275,24/08/2020,-0.89
93.80999756,93.90000153,93.01000214,93.05999756,05/10/2020,-0.80
93.45999908,93.51000214,92.62999725,92.69000244,23/08/2021,-0.82
98.23999786,98.97000122,98.16000366,98.80999756,21/03/2022,0.58
108.0999985,109.2699966,107.5899963,108.8000031,22/08/2022,0.65
106.0599976,107.1999969,105.3199997,105.9499969,28/11/2022,-0.10
